context,position,key,content
help,0,"rip_name","The name is used to identify this rip. It will appear in the rip's link. No spaces are allowed, using only lowercase letters is recommended."
help,1,"rip_next_link","If your ripped page is continued on following, similar pages (i.e., where the same bits may be extracted), you can specify the label of the link which jumps to the next page. Use number (#) of pages to only load the first x pages. Entering nothing or 0 will load all available pages."
help,2,"rip_title","The title will appear on top of the rip page. May be left blank."
help,3,"rip_start_page","The URL where the rip starts. If no navigation follows, the bits will be looked for on this page.If you define navigation actions, the first action will use a form or a link on this page."
help,4,"bit_label","The label will appear in front of the found information for this bit. May be left blank."
help,5,"bit_select_indizes","If this bit returns more than one value, you may specify which ones should be selected. You may enter a comma-separated list of numbers, like <i>1,2,4,6</i>; a range like <i>2..5</i>; or a keyword as <i>last</i>, <i>all_but_last</i>, <i>all_but_first</i>, <i>every_even</i>, <i>every_odd</i>, <i>every_second</i>, <i>every_third</i>, <i>every_fourth</i>."
help,6,"bit_xpath","The XPath defines how to find this information bit. Basically, this is the hierarchy of HTML tags on the destination page that leads to the desired element (eg. /html/body/div[2]). For more help on XPath, see our FAQ."
help,7,"field_required","Required. Choose this, if the corresponding field must not be left blank."
help,8,"field_constant","Constant. Choose this, if the corresponding field will always have the value entered. If this option is not selected, the entered value will be discarded on save."
help,9,"field_type_text","This is a normal text field. Please enter a matching value."
help,10,"field_type_textarea","This field is a text area. You may enter arbitrary input."
help,11,"field_type_password","This is a password field. It is highly discouraged to define this field as constant, because data saved here will be visible to anybody. Also be aware that bitRip is not a secured service, so any information you enter will be sent in clear text."
help,12,"field_type_select","This field is a select box. Enter one of the labels found in the corresponding page."
help,14,"field_type_checkbox","This is a group of check boxes. Select the desired values."
help,14,"field_type_radio","Choose one option from these radio buttons."
help,15,"frame_index","<p>
<span style=""font-size: larger; font-weight: bold;"">
Are you
</span>
tired of permanently browsing a long way through jam-packed websites, just to get to a few small bits of interesting information?
</p>
<p>
Wouldn't it be nice to have a clear page with only these bits on it? Reachable with one click? And lightweight enough for mobile use?
</p>
<p>
<b>Enter bitRip.</b>
</p>
<p>
BitRip displays selected bits from websites. Once you defined how to get them, you may access them directly with a single link.
</p>
<p>
Without all the clutter.
</p>"
help,16,"frame_sandbox","Use this sandbox to play around with bitRip. 
<br/>
You may save changes, but they will be lost when someone else saves his/hers."
help,17,"frame_add","<h3>Ready to rip?</h3>
<p>
To get started, enter the address of the page you want to rip and hit <i>Preview</i>.  This should display the entire page.
</p>
<p>
Next, if required, figure out the necessary navigation elements. These may be either links or forms. Fill in the appropriate values and check the resulting page again.
</p>
<p>
Once you are on your destination page, determine the XPaths of the desired bits. More about that in the <a href=""../faq"" target=""_parent"">[FAQ]</a>.
</p>
<p>
If your bits are on different pages, you may use a <i>Multi page</i> rip. Should these pages share a common initial navigation, use <i>Multi page w/ common navigation</i>.
</p>"
help,18,"frame_history","<p>
<b>The History</b>
</p>
<p>
All previous versions of a bitRip are saved in this history. You may look at previous versions just as you would at the most recent one.
</p>
<p>
If you want to revert this bitRip to a certain date, just edit and save the corresponding version to make it the latest version again. 
</p>"
help,19,"frame_trash","<p>
<b>The Trash</b>
</p>
<p>
All bitRips that have been deleted will end up here. There is no guarantee about when the trash is emptied, so you better don't store your favorite bitRips here.
</p>
<p>
To move a bitRip out of the trash, simply edit it and save it again. This will put it back on the front page.
</p>"
help,20,"starter_sandbox","Feel free to experiment here. Your may save your changes, but the next person may overwrite them again..."
help,21,"starter_noscript","Editing bitRips requires <a href=""http://en.wikipedia.org/wiki/JavaScript"">JavaScript</a>. Please use a browser that supports JavaScript and has it <a href=""https://www.google.com/adsense/support/bin/answer.py?hl=en&answer=12654"">enabled</a>."
